,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0,1376,1343,1755,1237,1885,1029,1575,1455,1654,1663,1030,1118,1744,1766,2102,1853,1738,1482,1151,1470,2051,1452,11857,2154,309,1248,1735,1661,1531
2,1392,0,950,750,1347,942,874,2474,2486,1081,1349,875,1588,1263,807,2055,1613,1027,524,794,578,2773,494,11210,1196,1526,289,1163,1089,1005
3,1374,948,0,1409,1585,1663,907,2456,2468,1361,688,857,1555,1542,1473,1748,1149,1594,1189,1058,1233,2807,1159,11654,1861,1508,955,1442,1368,1030
4,1990,889,1598,0,1671,1211,1483,3072,2930,1048,1895,1372,1912,1231,1052,2513,2233,1350,1017,1118,1006,2800,853,11116,992,2124,1072,1208,1096,1126
5,1440,1476,1505,1601,0,1284,1267,2390,2234,1816,1826,1155,810,1891,1543,2112,2000,1145,1455,845,1617,2149,1474,11804,1552,1441,1410,1898,1823,1678
6,1891,1069,1603,1324,1009,0,1511,2802,2373,1718,1923,1468,1668,1599,921,2352,2250,286,770,1270,1302,2243,701,11485,1094,2025,931,1800,1725,1546
7,1126,906,860,1384,1049,1431,0,2208,2219,1185,1180,322,1307,1366,1297,1773,1507,1477,1013,614,1057,2559,983,11478,1685,1260,779,1266,1192,1104
8,1520,2510,2478,2889,2371,2842,2163,0,1658,2788,2798,2165,2407,2879,2901,3237,2988,2702,2617,2286,2605,1757,2587,12992,2926,1646,2383,2870,2796,2666
9,1513,2456,2424,2835,2329,2417,2109,1709,0,2734,2744,2110,1696,2825,2846,3182,2933,2278,2563,2232,2551,1674,2533,12756,2502,1353,2328,2816,2741,2612
10,1647,1118,1222,1075,1844,1645,1129,2730,2741,0,1542,1130,1828,1114,1509,2310,1869,1728,1225,1484,1061,3081,1195,10882,1495,1781,991,431,559,972
11,1579,1312,607,1766,1791,1869,1112,2662,2673,1566,0,1063,1761,1747,1679,1389,664,1800,1395,1264,1439,3013,1365,11860,2067,1714,1161,1648,1573,1368
12,981,762,730,1240,1082,1287,375,2064,2075,1040,1050,0,1162,1221,1153,1818,1377,1329,869,486,913,2415,839,11334,1541,1115,634,1122,1047,960
13,962,1749,1759,1874,937,1862,1445,2537,1725,2070,2079,1364,0,2145,2149,2322,2253,1751,1749,1166,1871,2248,1868,12258,2157,1228,1664,2151,2077,1931
14,1833,1351,1508,1317,1920,1770,1416,2915,2926,1064,1829,1417,2001,0,1310,2596,2155,1946,1234,1580,1309,2815,1070,10637,1250,1967,1289,1146,682,1086
15,2021,1061,1595,1223,1618,861,1503,3103,2829,1711,1916,1504,2202,1409,0,2684,2243,1000,851,1533,1294,2698,653,11294,584,2155,871,1792,1723,1564
16,2014,2260,1825,2737,2093,2596,1753,3097,3108,2538,1547,1983,2249,2719,2650,0,1417,2328,2366,1991,2410,3501,2336,12832,2910,2148,2132,2620,2545,2458
17,1740,1699,1166,2176,1958,2018,1308,2822,2834,1977,792,1405,1909,2158,2089,1400,0,1949,1806,1413,1850,3161,1776,12271,2477,1874,1571,2059,1984,1897
18,1926,1050,1584,1460,1075,237,1492,2772,2344,1699,1904,1444,1734,1735,1056,2387,2231,0,790,1360,1283,2213,837,11620,1275,2060,912,1781,1706,1619
19,1563,603,1137,1103,1526,536,1045,2645,2656,1252,1457,1046,1744,1240,638,2225,1784,675,0,1198,836,2545,402,11126,1096,1697,426,1334,1259,1172
20,1208,992,1132,1116,786,1200,605,2290,2302,1443,1452,402,1068,1624,1483,1670,1779,1131,1076,0,1286,2522,1241,11576,1698,1342,1014,1524,1450,1362
21,1791,754,1286,920,1680,1520,1273,2873,2885,951,1686,1313,1921,1346,1378,2454,2012,1659,1094,1127,0,3224,1012,11459,1826,1925,860,1027,1172,1059
22,2019,2880,2943,2887,2192,2358,2629,1418,1769,3254,3263,2651,2343,2811,2668,3506,3437,2218,2584,2452,3055,0,2529,12696,2442,2145,2748,3335,3125,3116
23,1598,638,1173,1006,1666,787,1080,2680,2692,1288,1493,1081,1779,1240,638,2261,1820,926,489,1113,819,2611,0,11125,1026,1732,289,1370,1295,1232
24,11655,10900,11331,10811,11517,11367,11239,12738,12542,10741,11651,11240,11824,10300,10906,12419,11978,11542,10830,11129,10966,12412,10666,0,10847,11789,10885,10978,10615,10852
25,2358,1398,1932,1108,1485,1089,1840,2940,2511,1761,2253,1841,2152,1321,498,2828,2579,1207,1161,1745,1630,2381,989,11206,0,2492,1208,1998,1635,1790
26,177,1431,1399,1811,1292,1941,1085,1631,1351,1710,1719,1086,1084,1800,1822,2158,1909,1794,1538,1207,1526,2107,1508,11913,2210,0,1304,1791,1717,1587
27,1405,446,980,926,1475,1032,887,2488,2499,1095,1300,888,1586,1276,832,2068,1627,1129,495,922,679,2839,385,11286,1221,1539,0,1177,1102,1015
28,1727,1245,1407,1075,1912,1755,1239,2810,2821,493,1652,1240,1896,1153,1619,2420,1979,1894,1335,1474,877,3149,1305,11266,1879,1861,1101,0,979,599
29,1853,1283,1428,1129,2050,1793,1335,2936,2947,650,1748,1336,2034,664,1475,2516,2075,1932,1399,1512,1299,2981,1235,10802,1416,1987,1197,887,0,1249
30,1525,1036,911,1057,1710,1546,1308,2607,2619,887,1456,1310,1694,1161,1555,2518,1920,1685,1402,1265,877,2946,1277,11200,1813,1659,1168,642,1208,0
