,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
1,0,20886,19588,27410,12719,24283,15750,21450,11568,26905,22126,15569,8328,32383,27817,22048,23502,23552,24769,14809,24459,39441,24473,182237,32210,1012,22825,26919,28562,24850,16182,19441,29963,10502,24923,12946,55936,27233,23573,24158,12642,10883,25995,25824,21609,18924,23630,20167,18202,19742,25976,11816,21881,26368,18202,25963,54329,180423,21938,21296,23791,1886,21490,27389,27208,51910
2,21806,0,7840,5720,11730,8391,8983,41731,35455,11637,9758,8802,15817,17142,7282,20712,12905,8620,4235,6460,3000,50344,3939,161331,11675,22648,2290,11652,13295,9173,11570,8023,10293,12929,5609,33227,76216,7109,3038,44439,16971,16251,5460,5289,1810,6682,8698,9553,3281,2254,12072,35702,27241,4284,3281,5429,74609,159516,42220,19960,12178,22171,41771,12121,7084,72190
3,19165,7336,0,11806,14284,16196,6179,39090,32814,13829,2891,6161,17580,19334,14741,14389,6920,15875,11694,8715,8892,50897,11397,169187,19134,20008,9749,13843,15486,5986,13858,226,19317,13229,11695,30586,73485,14815,10497,41708,9519,13610,12919,12748,5540,726,15954,11841,7844,6992,14260,33062,24600,11612,7844,8860,71878,167373,39579,13637,14466,19530,39130,14313,14791,69459
4,27518,6250,12587,0,15764,8381,13981,47443,46512,6193,15707,12110,19850,16637,8483,27036,18518,8848,10142,10493,4159,54909,9214,158992,8140,28360,10490,6672,7826,6444,15604,13022,15146,16963,1181,38939,81932,9245,2865,50155,16541,16984,2772,11179,7080,12506,8927,13586,7213,6898,11373,46638,32499,2020,7213,11318,82699,157178,51284,26284,24321,27883,47483,6691,9220,77906
5,10644,11066,15176,15818,0,10914,7245,35020,16603,22494,17714,6848,4548,27970,15551,18746,19089,10269,13788,5178,20045,40840,16878,175227,15587,15937,18413,22508,24151,20437,3332,15029,13114,3245,15707,26516,69505,12331,14174,37727,8252,1387,18142,13112,10526,14513,10191,3308,9231,9321,9127,16851,7377,14382,9231,13251,68630,173412,35508,17994,5640,15460,35059,22978,12307,65479
6,27669,8092,14938,8687,10753,0,15750,43570,29140,18405,17476,16082,14115,19326,5377,28451,19673,1116,4388,15235,10055,37537,4916,161681,6567,28512,5534,18419,20062,12602,9267,14791,4094,15467,8851,34779,69267,1512,6997,41175,17957,12173,6180,4853,9007,14274,1194,8236,5823,6600,1871,29266,15126,7174,5823,4993,65327,159866,41650,27699,5979,28034,43610,18889,1487,68082
7,16616,8090,5130,15337,7014,16130,0,36541,30265,14109,7668,1480,15030,19614,15021,13344,9865,13777,11974,3092,9173,48348,11678,169468,19415,17458,10029,14123,15767,10119,12028,4983,18032,10679,14167,28037,71026,12717,10777,39248,3136,11061,13199,13028,8814,4466,13855,11137,11020,5801,12162,30512,22050,11892,11020,13168,69419,167653,37029,12592,11999,16981,36581,14593,12693,67000
8,21161,40851,39553,47375,32685,43762,35715,0,10373,46870,42091,35534,34826,52349,47782,42014,43468,43117,44735,34774,44424,11587,44439,202203,51609,21084,42790,46884,48528,44816,36148,39406,46666,30467,44888,15275,36905,47198,43538,3248,32607,30849,45960,45789,41575,38890,43038,40132,38167,39708,41975,10319,37328,46334,38167,45929,35298,200388,1227,41261,42209,20944,61,47354,47174,32879
9,12515,34439,33141,40964,16891,30115,29303,10376,0,40459,35679,29123,13194,45937,41370,35602,37056,29470,38323,28362,38013,21753,38027,192750,37962,11110,36378,40473,42116,38404,26938,32994,33019,24056,38477,3902,50089,30676,37127,18311,26195,24437,39830,39378,35163,32478,29392,30803,31755,33296,28328,248,14812,39922,31755,39517,49543,190935,10742,34850,28562,12472,10288,40943,30651,46063
10,27593,12184,13957,6614,23874,13737,14770,47518,41242,0,16495,14589,26008,6753,19114,26499,18692,20453,16067,16198,7003,59325,15771,153771,16639,28435,14122,2343,2557,5132,27329,13810,19626,21657,5614,39014,82003,18941,8016,50226,22758,22038,8733,17122,12918,13294,20531,20501,15113,11238,23905,41489,33028,7299,15113,17261,80396,151957,48007,25747,28801,27958,47558,498,18917,77977
11,21310,9761,3104,17201,16429,18340,8324,41234,34958,15973,0,8306,19724,21478,16885,11532,3519,18020,13838,10859,11037,53042,13542,171332,21278,22152,11893,15987,17631,8297,16003,2761,21461,15373,16031,32731,75629,16960,12641,43852,11663,15754,15063,14892,7965,3631,18098,13985,10269,9418,16404,35206,26744,13756,10269,11285,74022,169517,41723,10779,16610,21674,41274,16457,16935,71603
12,15676,7150,5852,14397,9220,15190,1550,35601,29325,13169,8390,0,14090,18674,14081,18394,10587,13077,11034,2463,8233,47408,10738,168528,18475,16518,9089,13184,14827,9179,10754,5705,17092,9739,13227,27097,70086,12119,9837,38308,4250,10121,12260,12088,7874,5189,13155,9863,10080,4528,12927,29572,14500,10952,10080,12228,68479,166713,36090,17642,10725,16041,35641,13653,12094,66060
